Fecha,PMCO,Est
2016-03-31,17.375,AJM
2016-04-01,16.791666666666668,AJM
2016-04-02,12.49333619937103,AJM
2016-04-03,21.208333333333332,AJM
2016-04-04,23.666666666666668,AJM
2016-04-05,28.041666666666668,AJM
2016-04-06,31.958333333333332,AJM
2016-04-07,32.75,AJM
2016-04-08,31.208333333333332,AJM
2016-04-09,25.708333333333332,AJM
2016-04-10,19.666666666666668,AJM
2016-04-11,21.708333333333332,AJM
2016-04-12,22.5,AJM
2016-04-13,25.125,AJM
2016-04-14,20.583333333333332,AJM
2016-04-15,21.75,AJM
2016-04-16,21.291666666666668,AJM
2016-04-17,22.291666666666668,AJM
2016-04-18,20.083333333333332,AJM
2016-04-19,17.5,AJM
2016-04-20,11.958333333333334,AJM
2016-04-21,6.396616490035901,AJM
2016-04-22,5.666666666666667,AJM
2016-04-23,8.541666666666666,AJM
2016-04-24,4.090836241364708,AJM
2016-04-25,7.083333333333333,AJM
2016-04-26,8.916666666666666,AJM
2016-04-27,10.5,AJM
2016-04-28,14.541666666666666,AJM
2016-04-29,10.333333333333334,AJM
2016-04-30,10.791666666666666,AJM
2016-05-01,10.375,AJM
2016-05-02,20.875,AJM
2016-05-03,22.666666666666668,AJM
2016-05-04,19.583333333333332,AJM
2016-05-05,19.916666666666668,AJM
2016-05-06,19.208333333333332,AJM
2016-05-07,14.977839122362553,AJM
2016-05-08,10.541666666666666,AJM
2016-05-09,13.041666666666666,AJM
2016-05-10,9.5,AJM
2016-05-11,12.125,AJM
2016-05-12,8.333333333333334,AJM
2016-05-13,11.472961431347976,AJM
2016-05-14,17.083333333333332,AJM
2016-05-15,8.491383665048001,AJM
2016-05-16,7.416666666666667,AJM
2016-05-17,9.5,AJM
2016-05-18,9.958333333333334,AJM
2016-05-19,11.166666666666666,AJM
2016-05-20,11.708333333333334,AJM
2016-05-21,13.958333333333334,AJM
2016-05-22,10.125,AJM
2016-05-23,10.041666666666666,AJM
2016-05-24,10.0,AJM
2016-05-25,11.125,AJM
2016-05-26,11.25,AJM
2016-05-27,8.0,AJM
2016-05-28,8.125,AJM
2016-05-29,7.875,AJM
2016-05-30,11.625,AJM
2016-05-31,10.666666666666666,AJM
2016-06-01,10.166666666666666,AJM
2016-06-02,5.25,AJM
2016-06-03,9.208333333333334,AJM
2016-06-04,8.5,AJM
2016-06-05,5.458333333333333,AJM
2016-06-06,5.958333333333333,AJM
2016-06-07,10.25,AJM
2016-06-08,10.125,AJM
2016-06-09,11.875,AJM
2016-06-10,10.958333333333334,AJM
2016-06-11,5.125,AJM
2016-06-12,5.5,AJM
2016-06-13,5.666666666666667,AJM
2016-06-14,7.166666666666667,AJM
2016-06-15,3.3781811097281342,AJM
2016-06-16,6.916666666666667,AJM
2016-06-17,10.166666666666666,AJM
2016-06-18,11.083333333333334,AJM
2016-06-19,6.166666666666667,AJM
2016-06-20,4.672829097893261,AJM
2016-06-21,5.583333333333333,AJM
2016-06-22,9.125,AJM
2016-06-23,8.541666666666666,AJM
2016-06-24,12.0,AJM
2016-06-25,8.291666666666666,AJM
2016-06-26,3.875,AJM
2016-06-27,5.625,AJM
2016-06-28,6.958333333333333,AJM
2016-06-29,7.458333333333333,AJM
2016-06-30,6.916666666666667,AJM
2016-07-01,7.833333333333333,AJM
2016-07-02,6.791666666666667,AJM
2016-07-03,5.75,AJM
2016-07-04,6.0,AJM
2016-07-05,5.125,AJM
2016-07-06,6.25,AJM
2016-07-07,9.75,AJM
2016-07-08,11.875,AJM
2016-07-09,13.875,AJM
2016-07-10,16.583333333333332,AJM
2016-07-11,7.291666666666667,AJM
2016-07-12,6.666666666666667,AJM
2016-07-13,9.193817845280604,AJM
2016-07-14,7.791666666666667,AJM
2016-07-15,31.416666666666668,AJM
2016-07-16,17.583333333333332,AJM
2016-07-17,5.166666666666667,AJM
2016-07-18,5.083333333333333,AJM
2016-07-19,7.291666666666667,AJM
2016-07-20,7.708333333333333,AJM
2016-07-21,6.126001525520949,AJM
2016-07-22,5.833333333333333,AJM
2016-07-23,4.625,AJM
2016-07-24,7.375,AJM
2016-07-25,8.708333333333334,AJM
2016-07-26,6.0,AJM
2016-07-27,10.041666666666666,AJM
2016-07-28,6.25,AJM
2016-07-29,8.708333333333334,AJM
2016-07-30,7.125,AJM
2016-07-31,7.833333333333333,AJM
2016-08-01,20.0,AJM
2016-08-02,9.733448270814756,AJM
2016-08-03,10.333333333333334,AJM
2016-08-04,10.541666666666666,AJM
2016-08-05,9.458333333333334,AJM
2016-08-06,3.0,AJM
2016-08-07,2.707695410813749,AJM
2016-08-08,4.0,AJM
2016-08-09,6.5,AJM
2016-08-10,5.0215734718367315,AJM
2016-08-11,9.875,AJM
2016-08-12,7.708333333333333,AJM
2016-08-13,11.041666666666666,AJM
2016-08-14,10.78001588356039,AJM
2016-08-15,11.208333333333334,AJM
2016-08-16,7.541666666666667,AJM
2016-08-17,4.666666666666667,AJM
2016-08-18,3.5833333333333335,AJM
2016-08-19,5.083333333333333,AJM
2016-08-20,4.041666666666667,AJM
2016-08-21,4.791277198663966,AJM
2016-08-22,8.25,AJM
2016-08-23,9.125,AJM
2016-08-24,6.166666666666667,AJM
2016-08-25,6.75,AJM
2016-08-26,8.958333333333334,AJM
2016-08-27,8.625,AJM
2016-08-28,5.708333333333333,AJM
2016-08-29,7.416666666666667,AJM
2016-08-30,11.041666666666666,AJM
2016-08-31,14.375,AJM
2016-09-01,12.0,AJM
2016-09-02,6.450448455818958,AJM
2016-09-03,6.583333333333333,AJM
2016-09-04,2.75,AJM
2016-09-05,6.583333333333333,AJM
2016-09-06,6.541666666666667,AJM
2016-09-07,10.75,AJM
2016-09-08,14.666666666666666,AJM
2016-09-09,20.708333333333332,AJM
2016-09-10,20.375,AJM
2016-09-11,12.0,AJM
2016-09-12,14.024612171425902,AJM
2016-09-13,12.916666666666666,AJM
2016-09-14,13.416666666666666,AJM
2016-09-15,12.75,AJM
2016-09-16,5.541666666666667,AJM
2016-09-17,6.041666666666667,AJM
2016-09-18,4.396875053009432,AJM
2016-09-19,8.583333333333334,AJM
2016-09-20,8.291666666666666,AJM
2016-09-21,6.166666666666667,AJM
2016-09-22,6.291666666666667,AJM
2016-09-23,8.427204022852319,AJM
2016-09-24,6.25,AJM
2016-09-25,5.416666666666667,AJM
2016-09-26,6.291666666666667,AJM
2016-09-27,5.583333333333333,AJM
2016-09-28,4.333333333333333,AJM
2016-09-29,5.791666666666667,AJM
2016-09-30,7.208333333333333,AJM
2016-10-01,9.25,AJM
2016-10-02,8.0,AJM
2016-10-03,11.458333333333334,AJM
2016-10-04,10.416666666666666,AJM
2016-10-05,11.75,AJM
2016-10-06,12.666666666666666,AJM
2016-10-07,15.166666666666666,AJM
2016-10-08,9.625,AJM
2016-10-09,3.5416666666666665,AJM
2016-10-10,7.083333333333333,AJM
2016-10-11,11.25,AJM
2016-10-12,12.291666666666666,AJM
2016-10-13,11.5,AJM
2016-10-14,13.625,AJM
2016-10-15,14.416666666666666,AJM
2016-10-16,9.083333333333334,AJM
2016-10-17,12.25,AJM
2016-10-18,15.635527283640087,AJM
2016-10-19,14.24302290415482,AJM
2016-10-20,17.03471118438793,AJM
2016-10-21,11.041666666666666,AJM
2016-10-22,7.875,AJM
2016-10-23,6.0,AJM
2016-10-24,13.49441811320228,AJM
2016-10-25,13.625,AJM
2016-10-26,15.666666666666666,AJM
2016-10-27,10.083333333333334,AJM
2016-10-28,10.26757465933892,AJM
2016-10-29,10.875,AJM
2016-10-30,7.833333333333333,AJM
2016-10-31,10.0,AJM
2016-11-01,9.583333333333334,AJM
2016-11-02,10.291666666666666,AJM
2016-11-03,8.637010170583832,AJM
2016-11-04,9.75,AJM
2016-11-05,7.625,AJM
2016-11-06,8.875,AJM
2016-11-07,11.167333527841974,AJM
2016-11-08,10.625,AJM
2016-11-09,3.456820538887076,AJM
2016-11-10,6.695517994540538,AJM
2016-11-11,14.631405237655438,AJM
2016-11-12,5.458333333333333,AJM
2016-11-13,6.25,AJM
2016-11-14,8.875,AJM
2016-11-15,10.541666666666666,AJM
2016-11-16,2.9166666666666665,AJM
2016-11-17,6.475675294700057,AJM
2016-11-18,10.208333333333334,AJM
2016-11-19,4.916666666666667,AJM
2016-11-20,4.499148138292916,AJM
2016-11-21,6.0,AJM
2016-11-22,8.708333333333334,AJM
2016-11-23,13.400153740156783,AJM
2016-11-24,17.416666666666668,AJM
2016-11-25,23.041666666666668,AJM
2016-11-26,12.208333333333334,AJM
2016-11-27,11.208333333333334,AJM
2016-11-28,10.791666666666666,AJM
2016-11-29,9.784543118181345,AJM
2016-11-30,11.375,AJM
2016-12-01,10.75,AJM
2016-12-02,17.9310259202285,AJM
2016-12-03,11.92477578554125,AJM
2016-12-04,9.01703045510672,AJM
2016-12-05,9.107802879900134,AJM
2016-12-06,13.108115142324401,AJM
2016-12-07,13.767341961366723,AJM
2016-12-08,23.666666666666668,AJM
2016-12-09,17.125,AJM
2016-12-10,11.791666666666666,AJM
2016-12-11,11.291666666666666,AJM
2016-12-12,13.333333333333334,AJM
2016-12-13,18.375,AJM
2016-12-14,17.583333333333332,AJM
2016-12-15,18.708333333333332,AJM
2016-12-16,12.541666666666666,AJM
2016-12-17,10.833333333333334,AJM
2016-12-18,10.041666666666666,AJM
2016-12-19,15.625,AJM
2016-12-20,14.041666666666666,AJM
2016-12-21,16.083333333333332,AJM
2016-12-22,21.125,AJM
2016-12-23,19.041666666666668,AJM
2016-12-24,18.0,AJM
2016-12-25,12.0,AJM
2016-12-26,13.666666666666666,AJM
2016-12-27,20.125,AJM
2016-12-28,13.708333333333334,AJM
2016-12-29,24.791666666666668,AJM
2016-12-30,12.166666666666666,AJM
2016-12-31,13.0,AJM
2017-01-01,10.541666666666666,AJM
2017-01-02,12.083333333333334,AJM
2017-01-03,21.291666666666668,AJM
2017-01-04,19.166666666666668,AJM
